date,open,high,low,close,volume,change
02jan2001,1320.28,1320.28,1276.05,1283.27,11294,
03jan2001,1283.27,1347.76,1274.62,1347.5601,18807,64.290039
04jan2001,1347.5601,1350.24,1329.14,1333.34,21310,-14.220093
05jan2001,1333.34,1334.77,1294.95,1298.35,14308,-34.98999
08jan2001,1298.35,1298.35,1276.29,1295.86,11155,-2.4899902
09jan2001,1295.86,1311.72,1295.14,1300.8,11913,4.9400635
10jan2001,1300.8,1313.76,1287.28,1313.27,12965,12.469971
11jan2001,1313.27,1332.1899,1309.72,1326.8199,14112,13.549927
12jan2001,1326.8199,1333.21,1311.59,1318.55,12760,-8.2698975
16jan2001,1318.3199,1327.8101,1313.33,1326.65,12057,8.0999756
17jan2001,1326.65,1346.92,1325.41,1329.47,13491,2.8199463
18jan2001,1329.89,1352.71,1327.41,1347.97,14450,18.5
19jan2001,1347.97,1354.55,1336.74,1342.54,14078,-5.4299316
22jan2001,1342.54,1353.62,1333.84,1342.9,11640,.35998535
23jan2001,1342.9,1362.9,1339.63,1360.4,12326,17.5
24jan2001,1360.4,1369.75,1357.28,1364.3,13090,3.9000244
25jan2001,1364.3,1367.35,1354.63,1357.51,12580,-6.7900391
26jan2001,1357.51,1357.51,1342.75,1354.95,10980,-2.5600586
29jan2001,1354.92,1365.54,1350.36,1364.17,10531,9.2200928
30jan2001,1364.17,1375.6801,1356.2,1373.73,11498,9.5599365
31jan2001,1373.73,1383.37,1364.66,1366.01,12953,-7.7199707
01feb2001,1366.01,1373.5,1359.34,1373.47,11188,7.4599609
02feb2001,1373.47,1376.38,1348.72,1349.47,10484,-24
05feb2001,1349.47,1354.5601,1344.48,1354.3101,10130,4.8400879
06feb2001,1354.3101,1363.55,1350.04,1352.26,10596,-2.0500488
07feb2001,1352.26,1352.26,1334.26,1340.89,11583,-11.369995
08feb2001,1341.1,1350.3199,1332.42,1332.53,11072,-8.3599854
09feb2001,1332.53,1332.53,1309.98,1314.76,10755,-17.77002
12feb2001,1314.76,1330.96,1313.64,1330.3101,10391,15.550049
13feb2001,1330.3101,1336.62,1317.51,1318.8,10752,-11.51001
14feb2001,1318.8,1320.73,1304.72,1315.92,11503,-2.8800049
15feb2001,1315.92,1331.29,1315.92,1326.61,11537,10.689941
16feb2001,1326.61,1326.61,1293.1801,1301.53,12572,-25.079956
20feb2001,1301.53,1307.16,1278.4399,1278.9399,11122,-22.590088
21feb2001,1278.9399,1282.97,1253.16,1255.27,12085,-23.669922
22feb2001,1255.27,1259.9399,1228.33,1252.8199,13659,-2.4500732
23feb2001,1252.8199,1252.8199,1215.4399,1245.86,12313,-6.9599609
26feb2001,1245.86,1267.6899,1241.71,1267.65,11308,21.790039
27feb2001,1267.65,1272.76,1252.26,1257.9399,11141,-9.710083
28feb2001,1257.9399,1263.47,1229.65,1239.9399,12253,-18
01mar2001,1239.9399,1241.36,1214.5,1241.23,12949,1.2900391
02mar2001,1241.23,1251.01,1219.74,1234.1801,12940,-7.0499268
05mar2001,1234.1801,1242.55,1234.04,1241.41,9292,7.2299805
06mar2001,1241.41,1267.42,1241.41,1253.8,10918,12.390015
07mar2001,1253.8,1263.86,1253.8,1261.89,11322,8.0899658
08mar2001,1261.89,1266.5,1257.6,1264.74,11141,2.8499756
09mar2001,1264.74,1264.74,1228.42,1233.42,10859,-31.319946
12mar2001,1233.42,1233.42,1176.78,1180.16,12290,-53.26001
13mar2001,1180.16,1197.83,1171.5,1197.66,13609,17.5
14mar2001,1197.66,1197.66,1155.35,1166.71,13974,-30.950073
15mar2001,1166.71,1182.04,1166.71,1173.5601,12595,6.8500977
16mar2001,1173.5601,1173.5601,1148.64,1150.53,15435.6,-23.030029
19mar2001,1150.53,1173.5,1147.1801,1170.8101,11262,20.280029
20mar2001,1170.8101,1180.5601,1142.1899,1142.62,12359,-28.190063
21mar2001,1142.62,1149.39,1118.74,1122.14,13463,-20.47998
22mar2001,1122.14,1124.27,1081.1899,1117.58,17239.5,-4.5600586
23mar2001,1117.58,1141.83,1117.58,1139.83,13649,22.25
26mar2001,1139.83,1160.02,1139.83,1152.6899,11140,12.859985
27mar2001,1152.6899,1183.35,1150.96,1182.17,13142,29.480103
28mar2001,1182.17,1182.17,1147.83,1153.29,13334,-28.880005
29mar2001,1153.29,1161.6899,1136.26,1147.95,12345,-5.3400879
30mar2001,1147.95,1162.8,1143.83,1160.33,12808,12.380005
02apr2001,1160.33,1169.51,1137.51,1145.87,12549,-14.459961
03apr2001,1145.87,1145.87,1100.1899,1106.46,13861,-39.410034
04apr2001,1106.46,1117.5,1091.99,1103.25,14255.9,-3.2099609
05apr2001,1103.25,1151.47,1103.25,1151.4399,13680,48.189941
